city;long_desc;country
 Merano, Italia ; Merano, Province of Bolzano - South Tyrol, Italy ; Italy
 Thalwil, Svizzera ; Thalwil, Switzerland ; Switzerland
 Essen, Germania ; Essen, Germany ; Germany
 Wynnewood, Pennsylvania ; Wynnewood, PA, USA ; USA
 Santa Fe, New Mexico ; Santa Fe, NM, USA ; USA
 Riverside, California ; Riverside, CA, USA ; USA
 Cordoba, Spagna ; C√≥rdoba, Spain ; Spain
 Burnham-on-Crouch, Regno Unito ; Burnham-on-Crouch, UK ; UK
 Odessa, Ucraina ; Odessa, Odessa Oblast, Ukraine ; Ukraine
 Amfreville-la-Mi-Voie, Francia ; Amfreville-la-Mi-Voie, France ; France
 Reggio Emilia, Italia ; Reggio Emilia, Province of Reggio Emilia, Italy ; Italy
 Ratingen, Germania ; Ratingen, Germany ; Germany
 Lipsia, Germania ; Leipzig, Germany ; Germany
 Austin, Texas ; Austin, TX, USA ; USA
 Markham, Canada ; Markham, ON, Canada ; Canada
 Saragossa, Spagna ; Zaragoza, Spain ; Spain
 Yeruham, Israele ; Yeruham, Israel ; Israel
 Bad Hersfeld, Germania ; 36251 Bad Hersfeld, Germany ; Germany
 Birds Landing, California ; Birds Landing, CA, USA ; USA
 Charlottesville, Virginia ; Charlottesville, VA, USA ; USA
 Montefiascone, Italia ; 01027 Montefiascone, VT, Italy ; Italy
 Pismo Beach, California ; Pismo Beach, CA, USA ; USA
 Carlisle, Massachusetts ; Carlisle, MA 01741, USA ; USA
 Eugene, Oregon ; Eugene, OR, USA ; USA
 Redwood City, California ; Redwood City, CA, USA ; USA
 Nyons, Francia ; 26110 Nyons, France ; France
 Miahuatlan, Messico ; Miahuatl√°n de Porfirio D√≠az, Oaxaca, Mexico ; Mexico
 Texas, Stati Uniti ; Texas, USA ; USA
 Valinhos, Brasile ; Valinhos - State of S√£o Paulo, Brazil ; Brazil
 Newtown, Australia ; Newtown NSW 2042, Australia ; Australia
 FlorianÛpolis, Brasile ; Florian√≥polis - State of Santa Catarina, Brazil ; Brazil
 San Carlos, California ; San Carlos, CA, USA ; USA
 Wilhelmsfeld, Germania ; 69259 Wilhelmsfeld, Germany ; Germany
 Friburgo, Germania ; Freiburg, Germany ; Germany
 Ayr, Regno Unito ; Ayr, UK ; UK
 Emeryville, California ; Emeryville, CA, USA ; USA
 Stoccarda, Germania ; Stuttgart, Germany ; Germany
 Saint-Brieuc, Francia ; 22000 Saint-Brieuc, France ; France
 Sebastopol, California ; Sebastopol, CA 95472, USA ; USA
 Tampere, Finlandia ; Tampere, Finland ; Finland
 Panama, Panama ; Panama City, Panama ; Panama
 L'Herbergement, Francia ; 85260 L'Herbergement, France ; France
 Villaco, Austria ; Villach, Austria ; Austria
 Torquay, Australia ; Torquay VIC 3228, Australia ; Australia
 Ahmedabad, India ; Ahmedabad, Gujarat, India ; India
 Asturias, Spagna ; Asturias, Spain ; Spain
 Civitanova Marche, Italia ; 62012 Civitanova Marche, Province of Macerata, Italy ; Italy
 Boca Raton, Florida ; Boca Raton, FL, USA ; USA
 Oldenburg, Germania ; Oldenburg, Germany ; Germany
 Worthing, Regno Unito ; Worthing, UK ; UK
 Michigan, Stati Uniti ; Michigan, USA ; USA
 Saint Helier, Jersey ; St Helier, Jersey ; Jersey
 Canada ; Canada ; Canada
 Sint-Gillis-Waas, Belgio ; 9170 Sint-Gillis-Waas, Belgium ; Belgium
 San Gallo, Svizzera ; St Gallen, Switzerland ; Switzerland
 Irlanda ; Ireland ; Ireland
 Kamuela, Hawaii ; Waimea, HI 96743, USA ; USA
 Tallinn, Estonia ; Tallinn, Estonia ; Estonia
 Saumur, Francia ; 49400 Saumur, France ; France
 Beaconsfield, Canada ; Beaconsfield, QC, Canada ; Canada
 Cameron Park, California ; Cameron Park, CA, USA ; USA
 Saint John's, Canada ; St. John's, NL, Canada ; Canada
 South Lake Tahoe, California ; South Lake Tahoe, CA 96150, USA ; USA
 Tunkhannock, Pennsylvania ; Tunkhannock, PA 18657, USA ; USA
 ItajaÌ, Brasile ; Itaja√≠ - State of Santa Catarina, Brazil ; Brazil
 Rockingham, Australia ; Rockingham WA 6168, Australia ; Australia
 Southampton, Regno Unito ; Southampton, UK ; UK
 Angers, Francia ; Angers, France ; France
 Livermore, California ; Livermore, CA, USA ; USA
 Tel Aviv-Yafo, Israele ; Tel Aviv-Yafo, Israel ; Israel
 Hakalau, Hawaii ; Hakalau, HI 96728, USA ; USA
 Perth, Australia ; Perth WA, Australia ; Australia
 Tulsa, Oklahoma ; Tulsa, OK, USA ; USA
 Canberra, Australia ; Canberra ACT 2601, Australia ; Australia
 Keene, New Hampshire ; Keene, NH, USA ; USA
 Avranches, Francia ; 50300 Avranches, France ; France
 Schiedam, Paesi Bassi ; Schiedam, Netherlands ; Netherlands
 Pescara, Italia ; Pescara, Province of Pescara, Italy ; Italy
 Scottsdale, Arizona ; Scottsdale, AZ, USA ; USA
 Providence, Rhode Island ; Providence, RI, USA ; USA
 Nimega, Paesi Bassi ; Nijmegen, Netherlands ; Netherlands
 Ansbach, Germania ; 91522 Ansbach, Germany ; Germany
 Robina, Australia ; Robina QLD 4226, Australia ; Australia
 Scranton, Pennsylvania ; Scranton, PA, USA ; USA
 La Quinta, California ; La Quinta, CA, USA ; USA
 Batavia, Illinois ; Batavia, IL, USA ; USA
 Siviglia, Spagna ; Seville, Sevilla, Spain ; Spain
 Burgos, Spagna ; Burgos, Spain ; Spain
 Rende, Italia ; 87036 Rende, Province of Cosenza, Italy ; Italy
 Menlo Park, California ; Menlo Park, CA, USA ; USA
 Princeton, New Jersey ; Princeton, NJ, USA ; USA
 Mikhmoret, Israele ; Mikhmoret, Israel ; Israel
 ?. ??????, Russia ; Russia ; Russia
 Burbank, California ; Burbank, CA, USA ; USA
 Atene, Grecia ; Athens, Greece ; Greece
 Languedoc-Roussillon-Midi-PyrÈnÈes, Francia ; Occitanie, France ; France
 Vilnius, Lituania ; Vilnius, Lithuania ; Lithuania
 Riga, Lettonia ; Riga, Latvia ; Latvia
 Namur, Belgio ; Namur, Belgium ; Belgium
 Annemasse, Francia ; 74100 Annemasse, France ; France
 Belvedere Tiburon, California ; Belvedere, CA, USA ; USA
 Shoreline, Washington ; Shoreline, WA, USA ; USA
 Rennes, Francia ; Rennes, France ; France
 Chiavari, Italia ; 16043 Chiavari, Metropolitan City of Genoa, Italy ; Italy
 Cedar City, Utah ; Cedar City, UT, USA ; USA
 Kissimmee, Florida ; Kissimmee, FL, USA ; USA
 Ginevra, Svizzera ; Geneva, Switzerland ; Switzerland
 Beaune, Francia ; 21200 Beaune, France ; France
 Bristol, Rhode Island ; Bristol, RI 02809, USA ; USA
 State College, Pennsylvania ; State College, PA, USA ; USA
 Virginia, Stati Uniti ; Virginia, USA ; USA
 Valenza, Francia ; 26000 Valence, France ; France
 Gloucester, Massachusetts ; Gloucester, MA, USA ; USA
 San Clemente, California ; San Clemente, CA, USA ; USA
 Sagy, Francia ; 95450 Sagy, France ; France
 Parker, Colorado ; Parker, CO, USA ; USA
 ?Ûd?, Polonia ; ≈\u0081√≥d≈∫, Poland ; Poland
 Williamsburg, Virginia ; Williamsburg, VA, USA ; USA
 Los Altos, California ; Los Altos, CA, USA ; USA
 Russia ; Russia ; Russia
 Cluj-Napoca, Romania ; Cluj-Napoca, Romania ; Romania
 Amiens, Francia ; Amiens, France ; France
 Dornbirn, Austria ; 6850 Dornbirn, Austria ; Austria
 Pancevo, Serbia ; Pancevo, Serbia ; Serbia
 Fitzroy, Australia ; Fitzroy VIC 3065, Australia ; Australia
 Lewisham, Regno Unito ; Lewisham, London SE13, UK ; UK
 Chico, California ; Chico, CA, USA ; USA
 Warendorf, Germania ; 48231 Warendorf, Germany ; Germany
 Ixelles, Belgio ; Ixelles, Belgium ; Belgium
 Weimar, Germania ; Weimar, Germany ; Germany
 Decatur, Georgia ; Decatur, GA 30030, USA ; USA
 BesanÁon, Francia ; 25000 Besan√ßon, France ; France
 Berna, Svizzera ; Bern, Switzerland ; Switzerland
 Flers-sur-Noye, Francia ; Flers-sur-Noye, France ; France
 Soorts-Hossegor, Francia ; 40150 Hossegor, France ; France
 Arlington, Virginia ; Arlington, VA, USA ; USA
 Gatineau, Canada ; Gatineau, QC, Canada ; Canada
 Lakewood, California ; Lakewood, CA, USA ; USA
 Golden, Colorado ; Golden, CO, USA ; USA
 Leer, Germania ; 26789 Leer, Germany ; Germany
 Tuross Head, Australia ; Tuross Head NSW 2537, Australia ; Australia
 Colombes, Francia ; Colombes, France ; France
 Cesena, Italia ; Cesena, Province of Forl√¨-Cesena, Italy ; Italy
 Golden Lake, Canada ; Golden Lake, ON K0J, Canada ; Canada
 Breda, Paesi Bassi ; Breda, Netherlands ; Netherlands
 Norwalk, Connecticut ; Norwalk, CT, USA ; USA
 Worms, Germania ; Worms, Germany ; Germany
 Las Vegas, Nevada ; Las Vegas, NV, USA ; USA
 Kendallville, Indiana ; Kendallville, IN 46755, USA ; USA
 Macao ; Macau ; Macau
 Stourbridge, Regno Unito ; Stourbridge, UK ; UK
 Tauranga, Nuova Zelanda ; Tauranga, New Zealand ; New Zealand
 Abbiategrasso, Italia ; 20081 Abbiategrasso, Metropolitan City of Milan, Italy ; Italy
 Beauvilliers, Francia ; 28150 Beauvilliers, France ; France
 Bardon, Australia ; Bardon QLD 4065, Australia ; Australia
 Burlington, Vermont ; Burlington, VT, USA ; USA
 Alameda, California ; Alameda, CA, USA ; USA
 Caracas, Venezuela ; Caracas, Capital District, Venezuela ; Venezuela
 Jena, Germania ; Jena, Germany ; Germany
 Naga City, Filippine ; Naga, Camarines Sur, Philippines ; Philippines
 Manila, Filippine ; Manila, Metro Manila, Philippines ; Philippines
 Seregno, Italia ; 20831 Seregno, Province of Monza and Brianza, Italy ; Italy
 Curitiba, Brasile ; Curitiba, State of Paran√°, Brazil ; Brazil
 Ercolano, Italia ; 80056 Ercolano, Metropolitan City of Naples, Italy ; Italy
 Norimberga, Germania ; Nuremberg, Germany ; Germany
 Altrincham, Regno Unito ; Altrincham, UK ; UK
 Peterborough, Canada ; Peterborough, ON, Canada ; Canada
 Mytchett, Regno Unito ; Mytchett, UK ; UK
 Sankt Leon-Rot, Germania ; 68789 Sankt Leon-Rot, Germany ; Germany
 Oreland, Pennsylvania ; Oreland, PA, USA ; USA
 Newport, Regno Unito ; Newport, UK ; UK
 Aylesbury, Regno Unito ; Aylesbury, UK ; UK
 Vermont, Stati Uniti ; Vermont, USA ; USA
 Libano, New Hampshire ; Lebanon, NH, USA ; USA
 Plovdiv, Bulgaria ; Plovdiv, Bulgaria ; Bulgaria
 Augusta, Germania ; Augsburg, Germany ; Germany
 Hickory, North Carolina ; Hickory, NC, USA ; USA
 Bristol, Regno Unito ; Bristol, UK ; UK
 Delaware, Stati Uniti ; Delaware, USA ; USA
 Valladolid, Spagna ; Valladolid, Spain ; Spain
 India ; India ; India
 Botany, Australia ; Botany NSW 2019, Australia ; Australia
 Laguna Niguel, California ; Laguna Niguel, CA, USA ; USA
 Old Westbury, New York ; Old Westbury, NY, USA ; USA
 Altadena, California ; Altadena, CA, USA ; USA
 Woluwe-Saint-Lambert, Belgio ; 1200 Woluwe-Saint-Lambert, Belgium ; Belgium
 Monterey, Indiana ; Monterey, IN, USA ; USA
 Iowa City, Iowa ; Iowa City, IA, USA ; USA
 La Conner, Washington ; La Conner, WA 98257, USA ; USA
 Allschwil, Svizzera ; 4123 Allschwil, Switzerland ; Switzerland
 Bentleigh East, Australia ; Bentleigh East VIC 3165, Australia ; Australia
 Bucharest, Romania ; Bucharest, Romania ; Romania
 Salisburgo, Austria ; Salzburg, Austria ; Austria
 Okaihau, Nuova Zelanda ; Okaihau, New Zealand ; New Zealand
 Corrales, New Mexico ; Corrales, NM, USA ; USA
 Silvan, Australia ; Silvan VIC 3795, Australia ; Australia
 Victoria, Canada ; Victoria, BC, Canada ; Canada
 S„o Carlos, Brasile ; S√£o Carlos, SP, Brazil ; Brazil
 Encinitas, California ; Encinitas, CA, USA ; USA
 Sechelt, Canada ; Sechelt, BC, Canada ; Canada
 Gˆteborg, Svezia ; Gothenburg, Sweden ; Sweden
 Austria ; Austria ; Austria
 Nevada, Stati Uniti ; Nevada, USA ; USA
 Nuovo Galles del Sud, Australia ; New South Wales, Australia ; Australia
 Jersey City, New Jersey ; Jersey City, NJ, USA ; USA
 Bakersfield, California ; Bakersfield, CA, USA ; USA
 Gerusalemme, Israele ; Jerusalem, Israel ; Israel
 Midvale, Utah ; Midvale, UT, USA ; USA
 Rock Hill, South Carolina ; Rock Hill, SC, USA ; USA
 Southport, Regno Unito ; Southport, UK ; UK
 Champigny-sur-Marne, Francia ; Champigny-sur-Marne, France ; France
 Il Cairo, Egitto ; Cairo, Cairo Governorate, Egypt ; Egypt
 Cologno Monzese, Italia ; 20093 Cologno Monzese, Metropolitan City of Milan, Italy ; Italy
 Durango, Colorado ; Durango, CO, USA ; USA
 Burgwedel, Germania ; 30938 Burgwedel, Germany ; Germany
 Roseville, California ; Roseville, CA, USA ; USA
 Saragozza, Spagna ; Zaragoza, Spain ; Spain
 Santo AndrÈ, Brasile ; Santo Andr√©, State of S√£o Paulo, Brazil ; Brazil
 Nuova Delhi, India ; New Delhi, Delhi, India ; India
 McMinnville, Oregon ; McMinnville, OR 97128, USA ; USA
 Ville-d'Avray, Francia ; 92410 Ville-d'Avray, France ; France
 Blue Bell, Pennsylvania ; Blue Bell, PA, USA ; USA
 Casablanca, Marocco ; Casablanca, Morocco ; Morocco
 Lucca, Italia ; 55100 Lucca, Province of Lucca, Italy ; Italy
 Malesia ; Malaysia ; Malaysia
 Gif-sur-Yvette, Francia ; Gif-sur-Yvette, France ; France
 Indianapolis, Indiana ; Indianapolis, IN, USA ; USA
 äiauliai, Lituania ; ≈†iauliai, Lithuania ; Lithuania
 Zugo, Svizzera ; Canton of Zug, Switzerland ; Switzerland
 Elwood, Australia ; Elwood VIC 3184, Australia ; Australia
 Brema, Germania ; Bremen, Germany ; Germany
 Monza, Italia ; 20900 Monza, Province of Monza and Brianza, Italy ; Italy
 Castle Rock, Colorado ; Castle Rock, CO, USA ; USA
 Canton, Cina ; Guangzhou, Guangdong, China ; China
 Belgio ; Belgium ; Belgium
 Fresno, California ; Fresno, CA, USA ; USA
 Seynod, Francia ; Seynod, France ; France
 Sonnaz, Francia ; Sonnaz, France ; France
 Celle, Germania ; Celle, Germany ; Germany
 Battaglia Terme, Italia ; Battaglia Terme, Province of Padua, Italy ; Italy
 Royal Oak, Michigan ; Royal Oak, MI, USA ; USA
 Guelph, Canada ; Guelph, ON, Canada ; Canada
 Thaxted, Regno Unito ; Thaxted, Dunmow CM6, UK ; UK
 Venezia, Italia ; Venice, Italy ; Italy
 Interlaken, Svizzera ; Interlaken, Switzerland ; Switzerland
 Cowes, Regno Unito ; Cowes PO31, UK ; UK
 Los Gatos, California ; Los Gatos, CA, USA ; USA
 Cordoba, Argentina ; C√≥rdoba, Cordoba, Argentina ; Argentina
 Aquisgrana, Germania ; Aachen, Germany ; Germany
 Tours, Francia ; Tours, France ; France
 Redmond, Washington ; Redmond, WA, USA ; USA
 Mendoza, Argentina ; Mendoza, Capital Department, Mendoza Province, Argentina ; Argentina
 Cuenca, Ecuador ; Cuenca, Ecuador ; Ecuador
 Stoke-on-Trent, Regno Unito ; Stoke-on-Trent, UK ; UK
 North Kingstown, Rhode Island ; North Kingstown, RI, USA ; USA
 Illinois, Stati Uniti ; Illinois, USA ; USA
 Cracovia, Polonia ; Krak√≥w, Poland ; Poland
 San Pedro Garza GarcÌa, Messico ; San Pedro Garza Garc√≠a, Nuevo Leon, Mexico ; Mexico
 Conthey, Svizzera ; Conthey, Switzerland ; Switzerland
 Varennes, Canada ; Varennes, QC, Canada ; Canada
 Pennsylvania, Stati Uniti ; Pennsylvania, USA ; USA
 Cognac, Francia ; 16100 Cognac, France ; France
 Hillsboro Beach, Florida ; Hillsboro Beach, FL, USA ; USA
 Milwaukee, Wisconsin ; Milwaukee, WI, USA ; USA
 Washington D.C., District of Columbia ; Washington, DC, USA ; USA
 Distretto di West Bloomfield, Michigan ; 4212 Highland Rd #102, Waterford Twp, MI 48328, USA ; USA
 North Vancouver, Canada ; North Vancouver, BC, Canada ; Canada
 Tacoma, Washington ; Tacoma, WA, USA ; USA
 Saint-AvÈ, Francia ; 56890 Saint-Av√©, France ; France
 Nimes, Francia ; Nimes, France ; France
 Visalia, California ; Visalia, CA, USA ; USA
 Columbia, Missouri ; Columbia, MO, USA ; USA
 Berlino, New Hampshire ; Berlin, NH, USA ; USA
 Silver Spring, Maryland ; Silver Spring, MD, USA ; USA
 Bandol, Francia ; Bandol, France ; France
 Corvallis, Oregon ; Corvallis, OR, USA ; USA
 St. Louis, Missouri ; St. Louis, MO, USA ; USA
 Ladera Ranch, California ; Ladera Ranch, CA, USA ; USA
 Shoreham-by-Sea, Regno Unito ; Shoreham-by-Sea, UK ; UK
 Wil, Svizzera ; 9500 Wil, Switzerland ; Switzerland
 Redondo Beach, California ; Redondo Beach, CA, USA ; USA
 Cadoneghe, Italia ; 35010 Cadoneghe PD, Italy ; Italy
 Messico ; Mexico ; Mexico
 Houilles, Francia ; Houilles, France ; France
 Lotte, Germania ; Lotte, Germany ; Germany
 Pechino, Cina ; Beijing, China ; China
 Saratoga, California ; Saratoga, CA, USA ; USA
 Vigo, Spagna ; Vigo, Pontevedra, Spain ; Spain
 San Leandro, California ; San Leandro, CA, USA ; USA
 Tucson, Arizona ; Tucson, AZ, USA ; USA
 Warner, New Hampshire ; Warner, NH, USA ; USA
 Bergamo, Italia ; Bergamo, Province of Bergamo, Italy ; Italy
 Glebe, Australia ; Glebe NSW 2037, Australia ; Australia
 Wilmington, Ohio ; Wilmington, OH 45177, USA ; USA
 Leida, Paesi Bassi ; Leiden, Netherlands ; Netherlands
 Yonkers, New York ; Yonkers, NY, USA ; USA
 Bremerton, Washington ; Bremerton, WA, USA ; USA
 Kowloon, Hong-Kong ; Kowloon, Hong Kong ; Hong Kong
 Rockville, Maryland ; Rockville, MD, USA ; USA
 Citt‡ del Capo, Sudafrica ; Cape Town, South Africa ; South Africa
 Milton, Florida ; Milton, FL, USA ; USA
 Mississauga, Canada ; Mississauga, ON, Canada ; Canada
 Hoogvliet, Paesi Bassi ; Hoogvliet Rotterdam, Netherlands ; Netherlands
 Brugg, Svizzera ; 5200 Brugg, Switzerland ; Switzerland
 Tampa, Florida ; Tampa, FL, USA ; USA
 Heredia, Costa Rica ; Heredia Province, Heredia, Costa Rica ; Costa Rica
 Sofia, Bulgaria ; Sofia, Bulgaria ; Bulgaria
 Hoensbroek, Paesi Bassi ; Hoensbroek, Netherlands ; Netherlands
 Caen, Francia ; 14000 Caen, France ; France
 Bonn, Germania ; Bonn, Germany ; Germany
 Trento, Italia ; Trento, Italy ; Italy
 Montigny-le-Bretonneux, Francia ; Montigny-le-Bretonneux, France ; France
 Dunedin, Nuova Zelanda ; Dunedin, New Zealand ; New Zealand
 Saint-Josse-ten-Noode, Belgio ; Saint-Josse-ten-Noode, Belgium ; Belgium
 Alhambra, California ; Alhambra, CA, USA ; USA
 Milton, Massachusetts ; Milton, MA, USA ; USA
 Szigetszentm·rton, Ungheria ; Szigetszentm√°rton, Hungary ; Hungary
 Albury, Australia ; Albury NSW 2640, Australia ; Australia
 West Simsbury, Connecticut ; West Simsbury, Simsbury, CT, USA ; USA
 SËvres, Francia ; S√®vres, France ; France
 Gentilly, Francia ; 94250 Gentilly, France ; France
 Zhitomir, Ucraina ; Zhytomyr, Zhytomyrs'ka oblast, Ukraine ; Ukraine
 Aarhus County, ; Aarhus Municipality, Denmark ; Denmark
 La Plata, Argentina ; La Plata, Buenos Aires Province, Argentina ; Argentina
 Binyamina-Giv'at Ada, Israele ; Binyamina-Giv'at Ada, Israel ; Israel
 Chambly, Canada ; Chambly, QC, Canada ; Canada
 Leixlip, Irlanda ; Leixlip, Co. Kildare, Ireland ; Ireland
 Dhahran, Arabia Saudita ; Dhahran Saudi Arabia ; Dhahran Saudi Arabia
 Australia Occidentale, Australia ; Western Australia, Australia ; Australia
 Pleasanton, California ; Pleasanton, CA, USA ; USA
 Gainesville, Florida ; Gainesville, FL, USA ; USA
 San Anselmo, California ; San Anselmo, CA 94960, USA ; USA
 Americana, Brasile ; Americana - State of S√£o Paulo, Brazil ; Brazil
 Petaling Jaya, Malesia ; Petaling Jaya, Selangor, Malaysia ; Malaysia
 Bielefeld, Germania ; Bielefeld, Germany ; Germany
 Norderstedt, Germania ; Norderstedt, Germany ; Germany
 Myrtle Beach, South Carolina ; Myrtle Beach, SC, USA ; USA
 Reston, Virginia ; Reston, VA, USA ; USA
 San Bruno, California ; San Bruno, CA, USA ; USA
 Winchester, Regno Unito ; Winchester, UK ; UK
 Glenside, Pennsylvania ; Glenside, PA, USA ; USA
 Boucherville, Canada ; Boucherville, QC, Canada ; Canada
 Kinsale, Irlanda ; Kinsale, Co. Cork, Ireland ; Ireland
 Imperial, California ; Imperial, CA, USA ; USA
 Somerset, New Jersey ; Somerset, Franklin Township, NJ 08873, USA ; USA
 Gilroy, California ; Gilroy, CA 95020, USA ; USA
 Port Huron, Michigan ; Port Huron, MI, USA ; USA
 Conway, South Carolina ; Conway, SC, USA ; USA
 South Pasadena, California ; South Pasadena, CA 91030, USA ; USA
 Italia ; Italy ; Italy
 Campos, Brasile ; Campos dos Goytacazes - State of Rio de Janeiro, Brazil ; Brazil
 Traverse City, Michigan ; Traverse City, MI, USA ; USA
 Purmerend, Paesi Bassi ; Purmerend, Netherlands ; Netherlands
 Golden Valley, Minnesota ; Golden Valley, MN, USA ; USA
 Waterloo, Canada ; Waterloo, ON, Canada ; Canada
 Falerna, Italia ; 88042 Falerna, Province of Catanzaro, Italy ; Italy
 Lafayette, Indiana ; Lafayette, IN, USA ; USA
 Grove City, Ohio ; Grove City, OH, USA ; USA
 Jacksonville, Florida ; Jacksonville, FL, USA ; USA
 Nogent-sur-Marne, Francia ; Nogent-sur-Marne, France ; France
 Alberta, Canada ; Alberta, Canada ; Canada
 Bregenz, Austria ; Bregenz, Austria ; Austria
 Bensville, Australia ; Bensville NSW 2251, Australia ; Australia
 La Rochelle, Francia ; La Rochelle, France ; France
 Indian Trail, North Carolina ; Indian Trail, NC, USA ; USA
 Sugar Land, Texas ; Sugar Land, TX, USA ; USA
 Aurora, Illinois ; Aurora, IL, USA ; USA
 York, Regno Unito ; York, UK ; UK
 Salteras, Spagna ; 41909 Salteras, Sevilla, Spain ; Spain
 Koszalin, Polonia ; Koszalin, Poland ; Poland
 Alicante, Spagna ; Alicante, Spain ; Spain
 Exeter, Regno Unito ; Exeter, UK ; UK
 Seul, Corea del Sud ; Seoul, South Korea ; South Korea
 Oneonta, New York ; Oneonta, NY 13820, USA ; USA
 Giacarta, Indonesia ; Jakarta, Indonesia ; Indonesia
 Pontedera, Italia ; 56025 Pontedera, Province of Pisa, Italy ; Italy
 Pulau Pinang, Malesia ; Penang, Malaysia ; Malaysia
 St Thomas, Canada ; St. Thomas, ON, Canada ; Canada
 Novi Sad, Serbia ; Novi Sad, Serbia ; Serbia
 Ouderkerk aan de Amstel, Paesi Bassi ; 1191 Ouderkerk aan de Amstel, Netherlands ; Netherlands
 Orono, Maine ; Orono, ME, USA ; USA
 Canegrate, Italia ; 20010 Canegrate MI, Italy ; Italy
 Antananarivo, Madagascar ; Antananarivo, Madagascar ; Madagascar
 Placencia, Belize ; Placencia, Belize ; Belize
 Kruibeke, Belgio ; Kruibeke, Belgium ; Belgium
 West Leederville, Australia ; West Leederville WA 6007, Australia ; Australia
 Fort-de-France, Martinica ; Fort-de-France Bay, Martinique ; Martinique
 Catalunya, Spagna ; Catalonia, Spain ; Spain
 Hollenfels, Lussemburgo ; Hollenfels, Luxembourg ; Luxembourg
 Tijuana, Messico ; Tijuana, Baja California, Mexico ; Mexico
 Castaic, California ; Castaic, CA 91384, USA ; USA
 Knoxville, Tennessee ; Knoxville, TN, USA ; USA
 Little Rock, Arkansas ; Little Rock, AR, USA ; USA
 's-Hertogenbosch, Paesi Bassi ; 's Hertogenbosch, Netherlands ; Netherlands
 Dresda, Germania ; Dresden, Germany ; Germany
 New Aquitaine, Francia ; Nouvelle-Aquitaine, France ; France
 Vesoul, Francia ; 70000 Vesoul, France ; France
 Quebec, Canada ; Qu√©bec City, QC, Canada ; Canada
 Norfolk, Virginia ; Norfolk, VA, USA ; USA
 Svizzera ; Switzerland ; Switzerland
 Porto, Portogallo ; Porto, Portugal ; Portugal
 Soliera, Italia ; 41019 Soliera, Province of Modena, Italy ; Italy
 Nottingham, Regno Unito ; Nottingham, UK ; UK
 Panama City Beach, Florida ; Panama City Beach, FL, USA ; USA
 Nelson, Canada ; Nelson, BC, Canada ; Canada
